ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID650340659,1/10 Morton St,3,u,780000.0,24/06/2017,2.0,1.0,318.0,19.0,-37.917120000000004,145.13625
ID178468821,17 Tynan St,4,h,1615000.0,28/05/2016,2.0,3.0,890.0,109.0,-37.7345,144.9891
ID645684798,19 Nolan St,3,h,1300000.0,17/06/2017,1.0,4.0,646.0,69.0,-37.7415,144.88923
ID282643514,3/38 Arnold St,1,u,540000.0,22/05/2016,1.0,1.0,480.0,89.0,-37.8356,144.9767
ID878767552,60 Cross St,3,h,878000.0,15/07/2017,2.0,2.0,163.0,6.0,-37.80069,144.88199
ID324240928,42 Denys St,3,h,712000.0,3/06/2017,1.0,2.0,603.0,59.0,-37.70037,144.97007
ID667047015,78 Valley Pde,4,h,2725000.0,25/02/2017,3.0,2.0,603.0,12.0,-37.8521,145.0657
ID901645302,1/29 Grant St,2,u,1211000.0,20/05/2017,1.0,1.0,259.0,49.0,-37.8718,145.0526
ID234232512,2/10 Bolinda Rd,3,t,1330000.0,27/05/2017,2.0,1.0,260.0,18.0,-37.79294,145.08583000000004
ID727353662,2/20 Margaret St,2,u,690500.0,23/04/2016,1.0,1.0,118.0,11.0,-37.8257,145.0856
ID509074698,7 Keown Ct,3,h,455000.0,3/12/2016,1.0,1.0,766.0,129.0,-37.6804,144.9664
ID902992562,8 Peel St,3,h,1095000.0,8/07/2017,1.0,1.0,493.0,42.0,-37.81498,145.18923999999996
ID827090040,116 Farrell St,2,h,1010000.0,24/09/2016,1.0,1.0,139.0,59.0,-37.8342,144.9393
ID341039752,115 Cheddar Rd,2,h,836000.0,15/10/2016,1.0,1.0,931.0,49.0,-37.7033,145.0169
ID266284435,7 Kinnoull Gr,5,h,2650000.0,17/06/2017,3.0,2.0,662.0,59.0,-37.87853,145.15542
ID127291222,2/25 Acland St,2,t,1077000.0,13/05/2017,1.0,1.0,455.0,129.0,-37.8636,144.9749
ID329524169,32 Cameron St,3,h,1555000.0,7/11/2016,1.0,0.0,250.0,119.0,-37.8167,144.9978
ID872088229,19 Jacka St,4,h,3230000.0,3/09/2016,4.0,3.0,1135.0,59.0,-37.8014,145.0892
ID755162919,25 Dover St,2,h,855000.0,8/04/2017,1.0,0.0,117.0,119.0,-37.8262,144.9922
ID157175119,147A Male St,2,t,1037000.0,25/02/2017,1.0,2.0,125.0,10.0,-37.9078,145.0051
ID733311876,164 Mascoma St,3,h,883000.0,24/06/2017,1.0,1.0,534.0,49.0,-37.719,144.90634
ID887584380,48 Branton Rd,3,h,553100.0,27/05/2017,2.0,2.0,540.0,45.0,-37.8765,144.69638
ID917522067,50 Davies St,2,h,830000.0,16/04/2016,1.0,1.0,319.0,119.0,-37.7572,144.9686
ID305320385,2/27 Morley St,3,u,460000.0,22/08/2016,2.0,1.0,190.0,9.0,-37.6997,144.9367
ID737393348,7A Alfada St,2,h,1225000.0,12/11/2016,1.0,2.0,284.0,79.0,-37.8958,145.0215
ID153560968,23 Silk St,3,h,908000.0,30/07/2016,1.0,2.0,692.0,69.0,-37.7345,145.0753
ID773773590,4/141 Centre Rd,2,u,563000.0,30/07/2016,1.0,1.0,1233.0,59.0,-37.9164,145.0228
ID425300928,7/122 Glen Huntly Rd,2,u,510000.0,11/03/2017,1.0,1.0,0.0,69.0,-37.8831,144.9896
ID917288137,23 Cyprus St,3,h,710500.0,8/07/2017,2.0,1.0,655.0,44.0,-37.67414,145.0205
ID898603715,37 Grosvenor St,3,h,1810000.0,18/06/2016,1.0,1.0,211.0,113.0,-37.8442,144.9928
ID254031854,48 Greeves St,4,h,1600000.0,12/08/2017,2.0,3.0,613.0,109.0,-37.86667,144.98324
ID716967574,1/136 Queen St,2,u,580000.0,8/10/2016,1.0,1.0,225.0,31.0,-37.8696,144.827
ID949094413,14 Rosedale Rd,3,h,2000000.0,18/06/2016,1.0,2.0,821.0,19.0,-37.8581,145.0685
ID689794287,95 Cochrane St,4,h,3295888.0,15/10/2016,3.0,2.0,565.0,29.0,-37.8975,144.9991
ID203837491,250 Arthur St,3,h,1145000.0,28/08/2016,1.0,3.0,590.0,17.0,-37.7673,145.02100000000004
ID337451416,44 McLean Av,3,h,1300000.0,26/08/2017,2.0,2.0,566.0,59.0,-37.91469,145.02788999999999
ID771899034,1/11 Glengala Rd,3,h,453000.0,17/06/2017,1.0,1.0,305.0,13.0,-37.788740000000004,144.82398999999995
ID800786789,52 Goulburn St,3,h,1419000.0,12/11/2016,1.0,2.0,270.0,99.0,-37.8148,144.8884
ID155643714,296 Albert Rd,3,h,1825000.0,18/06/2016,2.0,2.0,151.0,119.0,-37.8383,144.9632
ID243018614,13 Jessie St,5,h,1500000.0,19/08/2017,3.0,4.0,900.0,131.0,-37.754020000000004,144.95991
ID268778851,2/79 Oxford St,2,u,855000.0,3/09/2016,1.0,1.0,2886.0,189.0,-37.8042,144.9845
ID618572076,4/225 Maribyrnong Rd,2,t,565000.0,13/05/2017,2.0,1.0,103.0,10.0,-37.7715,144.9088
ID338707423,1/12 Pascoe St,2,u,360000.0,30/07/2016,1.0,1.0,119.0,79.0,-37.7161,144.9348
ID390767709,111 Rutherford Rd,4,h,1085000.0,22/08/2016,3.0,2.0,599.0,59.0,-37.7397,145.0934
ID390395262,6/36 Livingstone St,4,t,985000.0,22/07/2017,3.0,2.0,181.0,3.0,-37.76758,145.03883000000005
ID431692924,2A Albion St,3,h,1400000.0,19/08/2017,2.0,2.0,462.0,19.0,-37.84315,144.98596
ID404421322,5 Empress Ct,3,h,472500.0,18/06/2016,1.0,1.0,586.0,52.0,-37.791,144.7925
ID752065437,82 Price St,3,h,1226000.0,10/12/2016,1.0,3.0,533.0,64.0,-37.7462,144.8953
ID305994623,1/203 Brighton Rd,2,u,902000.0,27/05/2017,1.0,0.0,702.0,79.0,-37.87944,144.99375
ID390586067,14B Boronia St,3,t,1115000.0,4/03/2017,2.0,2.0,297.0,59.0,-37.9135,145.0774
ID936938732,27 Clifton Gr,3,h,1020000.0,20/05/2017,2.0,0.0,341.0,99.0,-37.7377,144.9584
ID207097214,2 Hughes Rd,4,h,500000.0,29/07/2017,2.0,2.0,550.0,54.0,-37.58279,145.12171999999995
ID892147977,1/7 Derry St,2,h,670000.0,27/11/2016,1.0,2.0,0.0,29.0,-37.76,144.9002
ID145743179,8 Hassett St,3,h,650000.0,12/11/2016,1.0,0.0,598.0,69.0,-37.7705,144.8307
ID874137059,43 Talintyre Rd,3,h,530000.0,27/11/2016,1.0,1.0,623.0,49.0,-37.8004,144.8138
ID679105082,1 Avenue Victoria,3,h,2040000.0,27/06/2016,1.0,2.0,783.0,69.0,-37.8234,145.0526
ID731147938,29 Hanley St,3,h,655000.0,1/07/2017,2.0,2.0,731.0,47.0,-38.029379999999996,145.31876
ID476346751,53 Ryan St,2,h,1170000.0,15/10/2016,1.0,1.0,184.0,119.0,-37.7988,144.90200000000004
ID256059463,61 Bangalore St,3,h,1291000.0,6/08/2016,1.0,1.0,416.0,119.0,-37.7946,144.924
ID854711302,73/145 Canterbury Rd,1,u,247500.0,22/04/2017,1.0,1.0,0.0,49.0,-37.8421,145.0104
ID263692358,6 McCully St,3,h,970000.0,30/07/2016,1.0,1.0,194.0,7.0,-37.7756,144.921
ID718531352,19 Myrtle St,4,h,1470000.0,15/10/2016,2.0,1.0,694.0,69.0,-37.7565,145.0506
ID298353991,30 Clifton St,4,h,1572000.0,7/05/2016,2.0,2.0,662.0,54.0,-37.798,145.1007
ID492749072,129 Albert St,3,h,850000.0,3/06/2017,1.0,2.0,485.0,139.0,-37.7383,145.02348999999995
ID171527629,20 Locksley Rd,4,h,2400000.0,4/06/2016,2.0,2.0,1252.0,99.0,-37.7727,145.0484
ID185950281,7 Inga Ct,3,h,1301000.0,18/03/2017,1.0,2.0,620.0,49.0,-37.8812,145.105
ID401046224,1/7 Sanders Pl,3,t,1582000.0,25/02/2017,3.0,2.0,119.0,14.0,-37.8278,144.9984
ID996703976,139 John St,3,h,765500.0,18/06/2016,2.0,2.0,780.0,49.0,-37.6955,144.9389
ID553655799,20 Astley St,4,h,1209000.0,26/07/2016,2.0,2.0,770.0,54.0,-37.7617,145.1065
ID982801203,3 Border Dr,3,h,918000.0,22/07/2017,2.0,2.0,669.0,19.0,-37.73936,144.85873999999995
ID883422056,33 Molden St,3,h,1400000.0,7/05/2016,2.0,2.0,653.0,49.0,-37.9069,145.0568
ID120104342,98 Heath St,2,h,1400000.0,25/02/2017,1.0,1.0,168.0,85.0,-37.8346,144.9453
ID600802171,47 Zetland Rd,3,h,1564000.0,27/11/2016,2.0,2.0,640.0,69.0,-37.8173,145.1123
ID946741045,2/115 Gillies St,2,u,505000.0,7/11/2016,1.0,1.0,0.0,49.0,-37.7755,145.0178
ID225167163,2/19 Elm St,2,u,745000.0,4/03/2017,1.0,1.0,161.0,49.0,-37.8327,145.106
ID610629037,37 Lee St,3,h,589000.0,9/09/2017,2.0,2.0,544.0,23.0,-37.7687,144.75833
ID705654777,9/3 Irving St,2,u,570500.0,4/03/2017,1.0,2.0,0.0,49.0,-37.8597,145.0318
ID632193209,4 Glendora Av,4,h,2210000.0,12/08/2017,2.0,1.0,396.0,111.0,-37.88779,144.99933000000001
ID258387258,57 Wonganella Dr,3,h,757000.0,7/11/2016,2.0,1.0,532.0,59.0,-37.7295,144.8644
ID942743815,3/23 Walstab St,3,u,1245000.0,28/05/2016,2.0,1.0,227.0,21.0,-37.9191,145.0074
ID332984875,4/39 Hunter St,2,u,1226000.0,6/05/2017,1.0,1.0,826.0,23.0,-37.821,145.0054
ID265372370,2/190 Murrumbeena Rd,1,u,291000.0,27/06/2016,1.0,1.0,0.0,69.0,-37.8979,145.0652
ID816324175,7 Valdemar Ct,4,h,1447000.0,25/02/2017,1.0,2.0,590.0,20.0,-37.9286,145.0274
ID336816217,1/143 Bradshaw St,2,u,762000.0,3/06/2017,1.0,1.0,195.0,9.0,-37.74125,144.89502
ID233136819,19 Wilkinson St,3,h,1025000.0,3/12/2016,2.0,2.0,676.0,69.0,-37.7262,145.0177
ID492680137,50 Andrew St,2,h,1500000.0,19/11/2016,1.0,2.0,0.0,91.0,-37.8518,144.9868
ID647228196,64 MacEdon Rd,4,h,1358500.0,28/08/2016,2.0,2.0,742.0,59.0,-37.7701,145.1131
ID181288112,36 Emerald St,5,h,2200000.0,1/07/2017,3.0,2.0,607.0,3.0,-37.75148,144.88519
ID547109517,9 Stephens St,5,h,4000000.0,18/06/2016,5.0,4.0,1364.0,6.0,-37.7961,145.0859
ID529375320,9 Frankston St,3,h,1040000.0,3/06/2017,2.0,1.0,461.0,29.0,-37.72499000000001,145.00038
ID447901506,11/17 Myamyn St,2,u,3625000.0,4/06/2016,2.0,2.0,0.0,13.0,-37.8555,145.0291
ID532487154,44 Manatunga Cct,6,h,990000.0,1/07/2017,3.0,2.0,562.0,8.0,-37.69749,145.1058
ID645450975,5 Kendall St,3,h,1265000.0,4/03/2017,2.0,1.0,465.0,69.0,-37.7471,144.9877
ID258375100,1/62 Wellington St,1,u,500000.0,4/03/2017,1.0,1.0,2335.0,17.0,-37.8571,144.987
ID568386418,9 Jackson St,3,h,1197000.0,26/08/2017,2.0,2.0,651.0,59.0,-37.83455,145.16173999999995
ID382904354,42 Gisborne Cr,3,h,890000.0,23/09/2017,1.0,2.0,725.0,21.0,-37.7183,145.02253000000005
ID490828916,24 The Avenue,3,h,850000.0,8/04/2017,2.0,2.0,795.0,64.0,-37.736,144.8771
ID672590264,30 Borrowdale Rd,3,h,438000.0,3/09/2017,2.0,2.0,575.0,3.0,-37.66745,144.55857
ID174964301,502/416 Gore St,2,u,790000.0,8/07/2017,1.0,2.0,6367.0,89.0,-37.7967,144.98363
ID429879453,52a Leinster Gr,3,t,910500.0,16/04/2016,2.0,2.0,157.0,9.0,-37.759,144.988
ID773261571,34 Parker St,3,h,1210000.0,18/03/2017,1.0,1.0,794.0,59.0,-37.7569,145.1179
ID521435552,21 Salvana Ct,4,h,751000.0,23/09/2017,2.0,2.0,712.0,21.0,-37.68646,144.77247
ID755306969,310/330 Lygon St,2,u,445000.0,27/06/2016,1.0,1.0,0.0,119.0,-37.7685,144.9724
ID534044944,8 Bowmore St,4,h,1745000.0,10/12/2016,2.0,1.0,547.0,94.0,-37.9002,145.0768
ID347835545,8 Carmichael St,3,h,1640000.0,27/05/2017,1.0,2.0,617.0,89.0,-37.77212,145.05813
ID892899220,3/21 Gardenvale Rd,2,u,500000.0,28/08/2016,1.0,1.0,90.0,109.0,-37.8996,145.0169
ID843376702,8 Cash St,4,h,1740000.0,10/09/2016,2.0,2.0,610.0,26.0,-37.7843,145.0891
ID665761167,2/82 Brunel St,2,u,720000.0,8/10/2016,1.0,1.0,92.0,25.0,-37.8706,145.0578
ID977715325,85A Clyde St,3,t,1100000.0,25/02/2017,2.0,2.0,7330.0,8.0,-37.7614,145.0118
ID880685393,6/119 Anderson Rd,2,u,445000.0,29/04/2017,1.0,1.0,196.0,59.0,-37.6956,144.9656
ID258375100,1/62 Wellington St,1,u,500000.0,4/03/2017,1.0,1.0,2335.0,17.0,-37.8571,144.987
ID475375199,3 Xavier Gr,3,h,920000.0,4/06/2016,2.0,2.0,623.0,5.0,-37.7276,145.0165
ID414537353,11 Hosking St,3,h,1367000.0,27/05/2017,1.0,2.0,410.0,7.0,-37.85569,144.89373999999995
ID789358844,3 Grant St,2,h,875000.0,26/08/2017,1.0,0.0,419.0,99.0,-37.89721,145.09792
ID796380800,5/60 Woornack Rd,2,u,650000.0,18/06/2016,1.0,1.0,174.0,44.0,-37.8978,145.062
ID945644358,7 Caddy Ct,3,h,585000.0,13/08/2016,1.0,3.0,620.0,7.0,-37.7293,145.032
ID251864383,12 Wood St,5,h,1500000.0,22/07/2017,2.0,2.0,591.0,69.0,-37.922109999999996,145.0466
ID325078967,301/84 Altona St,2,u,425000.0,27/11/2016,1.0,1.0,0.0,13.0,-37.7966,144.9254
ID288890458,46 Ferndale Rd,3,h,621000.0,17/09/2016,1.0,1.0,619.0,44.0,-37.7665,144.8358
ID762899804,18 Elizabeth Ct,3,h,668000.0,17/09/2016,2.0,1.0,618.0,54.0,-37.6989,145.0212
ID563433453,2/532 Orrong Rd,2,u,565000.0,28/08/2016,1.0,1.0,0.0,79.0,-37.8573,145.0112
ID847414328,69 MacPherson St,2,h,757500.0,22/08/2016,1.0,0.0,258.0,119.0,-37.7959,144.8901
ID406623980,2/12 William St,2,u,695000.0,1/07/2017,2.0,1.0,208.0,19.0,-37.70267,145.09526
ID843673857,11 Hillcrest Rd,5,h,900000.0,30/07/2016,2.0,2.0,568.0,24.0,-37.7129,144.9253
ID342652344,112 Croydon Rd,4,h,2128000.0,3/09/2016,3.0,2.0,771.0,19.0,-37.8239,145.0969
ID793200856,98 Bath Rd,4,h,1950000.0,25/02/2017,2.0,2.0,775.0,59.0,-37.8561,145.0934
ID648785081,967 Drummond St,4,h,2718000.0,11/03/2017,2.0,0.0,538.0,4.0,-37.7816,144.9714
ID292594432,2/29 May Rd,1,u,430000.0,4/06/2016,1.0,1.0,0.0,49.0,-37.8473,145.0053
ID494076285,3 Adamson St,4,h,3200000.0,26/08/2017,3.0,2.0,635.0,89.0,-37.91559,144.99885
ID785999790,253 Thompsons Rd,4,h,1000000.0,13/08/2016,3.0,2.0,728.0,49.0,-37.768,145.1027
ID764136189,2/147 Glen Huntly Rd,1,u,485000.0,8/10/2016,1.0,1.0,0.0,49.0,-37.8831,144.9918
ID914171766,1/14 Barkly St,4,t,975000.0,15/10/2016,2.0,2.0,299.0,11.0,-37.8282,145.1301
ID723298134,1/38 Neville St,3,u,1170000.0,10/09/2016,1.0,2.0,0.0,94.0,-37.8977,145.0493
ID339162790,9 Kevin St,3,h,815000.0,8/10/2016,1.0,1.0,438.0,59.0,-37.7338,144.9441
ID175378117,77 Buckingham St,3,h,1182000.0,14/05/2016,1.0,1.0,199.0,99.0,-37.8139,145.0039
ID794304824,5 Viewbank Dr,3,h,823000.0,27/11/2016,1.0,2.0,538.0,39.0,-37.7486,144.8778
ID896858348,24 County Tce,4,h,1020000.0,29/07/2017,2.0,2.0,560.0,29.0,-37.77791,145.26912
ID370970426,23 Howitt St,3,h,1400000.0,24/09/2016,1.0,1.0,335.0,109.0,-37.7816,145.0141
ID367103161,4/97 Cowper St,1,u,275000.0,16/07/2016,1.0,1.0,0.0,49.0,-37.8053,144.9029
ID204971469,695 Heatherton Rd,3,h,1250500.0,9/09/2017,1.0,2.0,1226.0,69.0,-37.95988,145.13279
ID626029603,5/322 Buckley St,2,u,460000.0,14/05/2016,1.0,1.0,0.0,59.0,-37.7545,144.8964
ID136703759,19a Elizabeth St,3,u,851000.0,3/09/2016,1.0,2.0,385.0,19.0,-37.7599,145.0849
ID960986991,2/237 Rosanna Rd,3,u,601000.0,28/05/2016,2.0,1.0,217.0,13.0,-37.7388,145.0742
ID811458690,7 Loddon Av,3,h,935000.0,16/09/2017,1.0,2.0,768.0,129.0,-37.7234,145.0266
ID872285178,13/60 Carlisle St,1,u,420000.0,22/05/2016,1.0,1.0,0.0,49.0,-37.8674,144.9839
ID435530053,32 Chadstone Rd,3,h,2250000.0,6/05/2017,1.0,2.0,840.0,69.0,-37.883,145.0791
ID120339738,570 Canning St,4,h,2400000.0,24/06/2017,1.0,1.0,163.0,109.0,-37.7835,144.97556
ID529509441,4/6 Kelly St,3,u,701000.0,8/04/2017,2.0,2.0,235.0,19.0,-37.8856,145.0934
ID822771978,17/198 Peel St,2,u,550000.0,17/06/2017,1.0,1.0,0.0,69.0,-37.80298,144.9568
ID813066029,3/29 Mount Pleasant Rd,2,u,676000.0,8/07/2017,1.0,1.0,149.0,49.0,-37.8231,145.17911
ID656677368,1/1 Peterson St,3,t,1030000.0,29/07/2017,2.0,2.0,240.0,13.0,-37.9461,145.02432
ID932050651,2 Bruce St,3,h,1500000.0,7/11/2016,1.0,1.0,693.0,25.0,-37.884,145.0713
ID660451418,5A Edward St,2,t,515000.0,3/09/2017,1.0,2.0,177.0,6.0,-37.70982,144.96397
ID873469274,8 Ovata Cl,4,h,915000.0,4/03/2017,3.0,1.0,531.0,29.0,-37.7198,145.1034
ID997018003,61 Steele St,4,h,1361500.0,10/12/2016,1.0,2.0,453.0,99.0,-37.7698,144.9336
ID878208607,24 Robert St,4,h,1300000.0,10/12/2016,3.0,1.0,604.0,59.0,-37.7621,145.086
ID917407645,150 Balwyn Rd,4,h,2250000.0,16/07/2016,1.0,2.0,832.0,69.0,-37.8068,145.0827
ID520714192,2/18 Vermont Pde,2,u,670000.0,26/08/2017,1.0,1.0,704.0,62.0,-37.70674,145.09841
ID876311562,138 Outhwaite Rd,3,h,690500.0,17/09/2016,1.0,2.0,605.0,64.0,-37.7386,145.0447
ID585349083,24/302 Abbotsford St,2,u,540000.0,3/12/2016,1.0,1.0,0.0,49.0,-37.7994,144.9464
ID544619529,5 Kilburn St,4,h,1610000.0,12/08/2017,3.0,2.0,861.0,64.0,-37.73154,144.92243
ID469084432,4/57 Blyth St,3,u,730000.0,13/08/2016,2.0,1.0,69.0,5.0,-37.868,144.8286
ID356252074,3 Evelyn St,3,h,1015000.0,13/05/2017,2.0,1.0,511.0,84.0,-37.7377,144.9911
ID310319472,4/313 Dandenong Rd,1,u,330000.0,6/08/2016,1.0,1.0,0.0,49.0,-37.8595,145.0076
ID996623871,13 Claronga St,3,h,885000.0,4/06/2016,1.0,2.0,565.0,69.0,-37.9262,145.0808
ID619057682,215 Neerim Rd,3,h,950000.0,14/05/2016,1.0,1.0,586.0,49.0,-37.88800000000001,145.0505
ID228715721,12 Youngman St,2,h,780000.0,8/10/2016,1.0,3.0,475.0,69.0,-37.7351,145.0066
ID943821200,97 John St,3,h,683000.0,6/05/2017,1.0,2.0,697.0,49.0,-37.6969,144.9425
ID822412432,72 Daley St,4,h,1281000.0,28/08/2016,1.0,5.0,594.0,79.0,-37.9206,145.0383
ID753093831,121 High St,4,h,1910000.0,1/07/2017,2.0,3.0,737.0,39.0,-37.86231,145.07213000000004
ID759074025,10/81 Rufus St,2,u,291000.0,9/09/2017,1.0,1.0,161.0,49.0,-37.64888,145.02313
ID922595913,11 William St,3,t,705000.0,27/06/2016,1.0,1.0,55.0,7.0,-37.7611,144.9622
ID991444721,13 Cannon St,3,h,605000.0,19/11/2016,1.0,1.0,462.0,63.0,-37.7969,144.8276
ID983204820,167 Thomas St,3,h,1300000.0,24/06/2017,1.0,2.0,684.0,79.0,-37.90514,145.02524
ID714008261,41 Patricia St,4,h,1250000.0,19/08/2017,2.0,2.0,534.0,49.0,-37.74514,144.87313
ID570444260,8/366 Melrose Dr,2,t,355000.0,3/06/2017,1.0,1.0,108.0,44.0,-37.68837,144.87122
ID773773590,4/141 Centre Rd,2,u,563000.0,30/07/2016,1.0,1.0,1233.0,59.0,-37.9164,145.0228
ID797498722,16 Burton St,4,h,2050000.0,27/05/2017,3.0,2.0,526.0,13.0,-37.80365,145.09048
ID858783290,14 The Avenue,3,h,540000.0,9/09/2017,2.0,2.0,362.0,14.0,-37.6366,145.07226
ID783797027,215 Derby St,3,h,840000.0,29/07/2017,1.0,1.0,438.0,39.0,-37.71962,144.94756
ID536689842,5 Barmah Gra,4,h,715000.0,24/06/2017,2.0,2.0,680.0,8.0,-37.612359999999995,144.90753
ID519359307,45 Elizabeth St,4,h,1385000.0,22/07/2017,3.0,2.0,417.0,39.0,-37.792229999999996,145.14606
ID299061608,16 Scenic Dr,5,h,1529500.0,17/09/2016,3.0,2.0,585.0,19.0,-37.8637,145.1024
ID436578658,33 Jane St,3,h,620000.0,29/07/2017,1.0,2.0,792.0,49.0,-38.03517,145.33886
ID595186639,43 Mitchell St,4,h,1275000.0,23/09/2017,1.0,2.0,518.0,139.0,-37.758829999999996,144.96749
ID374102943,35 May St,2,h,610000.0,24/09/2016,1.0,2.0,691.0,11.0,-37.834,144.8553
ID144798024,15 Wilson St,4,h,1385000.0,16/07/2016,2.0,1.0,576.0,99.0,-37.9152,145.0244
ID884317234,47 Mooltan St,2,h,1100000.0,18/06/2016,1.0,1.0,321.0,119.0,-37.7818,144.9374
ID976133310,203/140 Gipps St,2,u,1935000.0,16/07/2016,2.0,2.0,0.0,9.0,-37.8127,144.9847
ID829684312,8 Upland Rd,3,h,1430000.0,7/05/2016,1.0,1.0,694.0,69.0,-37.7411,144.9262
ID928782073,45A Harold St,3,h,1280000.0,25/02/2017,1.0,1.0,253.0,109.0,-37.7566,144.9965
